Country,Product Name,FNSKU,Merchant SKU,ASIN,Condition,Supplier,Supplier part no.,Currency code,Price,Sales last 30 days,Units Sold Last 30 Days,Total Units,Inbound,Available,FC transfer,FC Processing,Customer Order,Unfulfillable,Working,Shipped,Receiving,Fulfilled by,Total Days of Supply (including units from open shipments),Days of Supply at Amazon Fulfillment Network,Alert,Recommended replenishment qty,Recommended ship date,Unit storage size
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Wine Red,X001X4SIFT,AN-113-Wine Red-M-CD-DE,B0CPQ23PXX,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops,X001X4VLSZ,AN-113-Flower Wine Red-M-CD-DE,B0CPQ42D9D,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨White-XL£©,X001X4VJS7,AN-4006-White-XL-CD-DE,B0CPQ19XZ8,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Amry Green-M£©",X001X51M97,AN-4006- Amry Green-M-CD-DE,B0CPQ2BZDL,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Navy Blue-L£©,X001X51QJ3,AN-4006-Navy Blue-L-CD-DE,B0CPQ1GYH7,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Dark Green,X001X51YK9,AN-113-Dark Green-S-CD-DE,B0CPQ1ZM6K,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Black,X001X57Q8N,AN-113-Black-2XL-CD-DE,B0CPQ1JGTG,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,ANELUNE Women's Casual Dress Long Sleeve Round Neck Maxi Size Dress Gorgeous Loose Long Dresses with Pockets Black,X001XFVOEP,AN1004-Long sleeve Black-XL,B0CPT1H2CV,New,--,,GBP,36.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0659 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Dark Green,X001X57Q83,AN-113-Dark Green-XL-CD-DE,B0CPQ35867,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Khaki-L£©,X001X51QH5,AN-4006-Khaki-L-CD-DE,B0CPQ2QZV9,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops,X001X51ZHV,AN-113-Floral White-XL-CD-DE,B0CPPY7JMY,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,"Anelune Mens Summer Shorts with Pockets Casual Elasticated Waist Jogger Shorts - Men's Linen Bermuda Shorts Suitable for Beach Party, Travel and Leisure with£¨Amry Green-S£©",X001X51QM5,AN-4006- Amry Green-S-CD-DE,B0CPQ1K414,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Black,X001X55RR5,AN-113-Black-M-CD-DE,B0CPPZ5SSQ,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Dark Khaki-2XL£©,X001X51LRP,AN-4006-Dark Khaki-2XL-CD-DE,B0CPPZXYQM,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
GB,Anelune Womens Chifffon Blouses Elegant V Neck Rolled-up Short Sleeves Loose Shirts Summer Casual Ladies Tops Royal Blue,X001X57M7N,AN-113-Royal Blue-S-CD-DE,B0CPQ28SC5,New,--,,GBP,31.19,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.0236 ft3
GB,Anelune Mens Linen Shorts Casual Classic Fit Cotton Summer Beach Short Mens Sports Shorts Holiday Essentials for Men and Drawstring with Elastic Waist and Pockets£¨Black-2XL£©,X001X4VJMX,AN-4006-Black-2XL-CD-DE,B0CPPZM3KT,New,--,,GBP,28.99,0,0,0,0,0,0,0,0,0,0,0,0,Amazon,,,,,,0.1406 ft3
